[     595ms] [ERROR] Failed to load resource: the server responded with a status of 404 () @ https://api.github.com/repos/m-deane/claude-template:0
[     601ms] [ERROR] Failed to load resource: the server responded with a status of 404 () @ https://api.github.com/repos/m-deane/claude-template/releases/latest:0
[  135684ms] [ERROR] Failed to load resource: net::ERR_EMPTY_RESPONSE @ http://127.0.0.1:8030/livereload/3265257/3383545:0
[  138690ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:8030/livereload/3265257/3383545:0
[  141694ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:8030/livereload/3265257/3383545:0
[  144697ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:8030/livereload/3265257/3383545:0
[  147720ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:8030/livereload/3265257/3383545:0
[  150748ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:8030/livereload/3265257/3383545:0
[  153754ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:8030/livereload/3265257/3383545:0
[  156762ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:8030/livereload/3265257/3383545:0
[  159784ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:8030/livereload/3265257/3383545:0
[  162799ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:8030/livereload/3265257/3383545:0
[  165808ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:8030/livereload/3265257/3383545:0
[  168817ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:8030/livereload/3265257/3383545:0
[  171822ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:8030/livereload/3265257/3383545:0
[  174824ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:8030/livereload/3265257/3383545:0
[  179815ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:8030/livereload/3265257/3383545:0
[  182499ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:8030/livereload/3265257/3383545:0
[  185519ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:8030/livereload/3265257/3383545:0
[  188524ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:8030/livereload/3265257/3383545:0
[  191548ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:8030/livereload/3265257/3383545:0
[  194555ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:8030/livereload/3265257/3383545:0
[  197566ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:8030/livereload/3265257/3383545:0
[  200572ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:8030/livereload/3265257/3383545:0
[  203578ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:8030/livereload/3265257/3383545:0
[  206584ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:8030/livereload/3265257/3383545:0
[  209587ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:8030/livereload/3265257/3383545:0
[  212615ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:8030/livereload/3265257/3383545:0
[  215633ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:8030/livereload/3265257/3383545:0
[  218637ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:8030/livereload/3265257/3383545:0
[  221641ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:8030/livereload/3265257/3383545:0
[  224649ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:8030/livereload/3265257/3383545:0
[  227674ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:8030/livereload/3265257/3383545:0
[  230681ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:8030/livereload/3265257/3383545:0
[  233696ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:8030/livereload/3265257/3383545:0
[  236702ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:8030/livereload/3265257/3383545:0
[  239707ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:8030/livereload/3265257/3383545:0
[  242733ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:8030/livereload/3265257/3383545:0
[  245737ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:8030/livereload/3265257/3383545:0
